name,url,neighborhood,cuisine,review_count,time_window
"Brandy Ho's Hunan Food","http://www.opentable.com/brandy-hos-hunan-food?p=4&sd=2014-11-28T19:30:00Z&rid=3475&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","North Beach","Chinese","9 reviews",0:00
"Salt House","http://www.opentable.com/salt-house?p=4&sd=2014-11-28T19:30:00Z&rid=7696&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 19:00:00,11/28/2014 20:15:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","Contemporary American","148 reviews",0:00
"Mission Beach Cafe","http://www.opentable.com/mission-beach-cafe?p=4&sd=2014-11-28T19:30:00Z&rid=13636&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Mission","Californian","42 reviews",0:00
"Le Central","http://www.opentable.com/le-central?p=4&sd=2014-11-28T19:30:00Z&rid=15403&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","French","87 reviews",0:00
"Anchor and Hope","http://www.opentable.com/anchor-and-hope?p=4&sd=2014-11-28T19:30:00Z&rid=21244&pt=100,100,100,100,100&d=11/28/2014 19:15:00,,11/28/2014 19:45:00,11/28/2014 18:45:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","Seafood","198 reviews",0:30
"Wexler's","http://www.opentable.com/wexlers?p=4&sd=2014-11-28T19:30:00Z&rid=30043&pt=100,100,100,100,100&d=11/28/2014 19:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Financial District / Embarcadero","Barbecue","47 reviews",0:00
"Kombu Kitchen","http://www.opentable.com/kombu-kitchen?p=4&sd=2014-11-28T19:30:00Z&rid=49423&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 19:00:00,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Contemporary American","50 reviews",0:00
"Trou Normand","http://www.opentable.com/trou-normand?p=4&sd=2014-11-28T19:30:00Z&rid=141049&pt=100,100,100,100,100&d=11/28/2014 18:30:00,,11/28/2014 20:00:00,11/28/2014 18:15:00,11/28/2014 20:15:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","Californian","129 reviews",1:30
"Crystal Jade Jiang Nan","http://www.opentable.com/crystal-jade-jiang-nan?p=4&sd=2014-11-28T19:30:00Z&rid=157507&pt=100,100,100,100,100&d=11/28/2014 18:45:00,,11/28/2014 20:15:00,,11/28/2014 20:30:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Financial District / Embarcadero","Chinese","",3:16
"BIX","http://www.opentable.com/bix?p=4&sd=2014-11-28T19:30:00Z&rid=3638&pt=100,100,100,100,100&d=,,11/28/2014 21:30:00,,11/28/2014 22:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Financial District / Embarcadero","American","194 reviews",4:31
"Pier 23 Cafe","http://www.opentable.com/pier-23-cafe?p=4&sd=2014-11-28T19:30:00Z&rid=55537&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Financial District / Embarcadero","Seafood","134 reviews",0:00
"Game","http://www.opentable.com/game-popup-at-all-spice?p=4&sd=2014-11-28T19:30:00Z&rid=139123&pt=100,100,100,100,100&d=11/28/2014 19:00:00,,11/28/2014 20:30:00,11/28/2014 17:45:00,11/28/2014 20:45:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Contemporary American","18 reviews",1:30
"Thirsty Bear","http://www.opentable.com/thirsty-bear?p=4&sd=2014-11-28T19:30:00Z&rid=2&pt=100,100,100,100,100&d=11/28/2014 17:30:00,11/28/2014 19:30:00,11/28/2014 20:30:00,,11/28/2014 21:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","Spanish","59 reviews",0:31
"Le Charm","http://www.opentable.com/le-charm?p=4&sd=2014-11-28T19:30:00Z&rid=49&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","SOMA","French","68 reviews",0:00
"Scala's Bistro","http://www.opentable.com/scalas-bistro?p=4&sd=2014-11-28T19:30:00Z&rid=159&pt=100,100,100,100,100&d=11/28/2014 18:15:00,,11/28/2014 20:00:00,11/28/2014 17:45:00,11/28/2014 20:15:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Italian","347 reviews",1:45
"Ozumo - San Francisco","http://www.opentable.com/ozumo-san-francisco?p=4&sd=2014-11-28T19:30:00Z&rid=1414&pt=100,100,100,100,100&d=11/28/2014 19:00:00,,11/28/2014 21:15:00,,11/28/2014 21:45:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Financial District / Embarcadero","Japanese","163 reviews",4:16
"Brindisi","http://www.opentable.com/brindisi?p=4&sd=2014-11-28T19:30:00Z&rid=2988&pt=100,100,100,100,100&d=11/28/2014 19:00:00,11/28/2014 19:30:00,11/28/2014 20:00:00,11/28/2014 18:30:00,11/28/2014 21:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","Seafood","47 reviews",0:00
"1300 on Fillmore","http://www.opentable.com/1300-on-fillmore?p=4&sd=2014-11-28T19:30:00Z&rid=16609&pt=100,100,100,100,100&d=11/28/2014 19:15:00,11/28/2014 19:30:00,11/28/2014 19:45:00,11/28/2014 19:00:00,11/28/2014 20:00:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Pacific Heights","American","110 reviews",0:00
"Fish & Farm","http://www.opentable.com/fish-and-farm?p=4&sd=2014-11-28T19:30:00Z&rid=17245&pt=1000,100,1000,1000,1000&d=11/28/2014 19:15:00,,11/28/2014 19:45:00,11/28/2014 18:45:00,11/28/2014 20:15:00&ofbs=,,,,&dt=2014-11-28T19:30:00Z","Downtown / Union Square","American","81 reviews",0:30
